benefit_id,benefit_name,product_type,benefit_type,category,region_scope,region,age_min,age_max,is_employed,is_student,is_freelance,is_selfemployed,target_housing_types,target_goals,income_limit,requires_income_proof,is_loan_type,application_status,benefit_summary,required_documents,source_url,tags_situation,tags_condition,tags_benefit,reason_base,interest_rate_max,monthly_limit,duration_months,target_label
,(우선적),,default,,,,,,,,,,,,,,,,,,,,,,,,,,
b010,청년월세 지원사업,지원금,national_policy,housing,all,all,19,34,1,1,1,1,monthly_rent,"housing,living_support",0,TRUE,FALSE,closed,월세로 거주하는 청년에게 월 최대 20만원씩 주거비를 지원.,"임대차계약서,월세이체내역,주민등록등본,소득확인서류",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004661,월세청년추천,무주택조건,월세지원,"MATCH_HOUSING,LOW_INCOME_SUPPORT,DOCUMENT_CHECK_REQUIRED",0,20,24,월세청년
b011,청년도약계좌,적금,financial_product,asset_building,all,all,19,34,1,0,1,1,all,asset_building,7500,TRUE,FALSE,closed,"청년의 중장기 자산형성을 돕는 5년 만기 자유적립식 금융상품으로, 월 최대 70만원까지 납입 가능하며 정부기여금과 비과세 혜택을 제공하는 상품","소득확인서류,신분증,가입심사서류",https://fill4young.kinfa.or.kr/,사회초년생추천,소득조건확인,자산형성,"MATCH_GOAL,INCOME_PROOF_REQUIRED",6,70,60,사회초년생
b012,청년도약계좌,적금,financial_product,asset_building,all,all,19,34,0,1,1,0,all,asset_building,7500,TRUE,FALSE,closed,"소득이 있는 대학생도 검토할 수 있는 청년 자산형성 금융상품으로, 5년 동안 월 최대 70만원까지 자유롭게 납입하고 정부기여금과 비과세 혜택을 받을 수 있는 상품","소득확인서류,신분증,가입심사서류",https://www.kinfa.or.kr/financialProduct/youthLeapAccount.do,대학생추천,소득조건확인,자산형성,"MATCH_GOAL,INCOME_PROOF_REQUIRED",6,70,60,대학생
b013,청년희망적금,적금,financial_product,asset_building,all,all,19,34,1,0,0,0,all,asset_building,3600,TRUE,FALSE,closed,"사회초년생 또는 저소득 청년의 저축을 장려하기 위한 2년 만기 자유적립식 적금 상품으로, 월 최대 50만원까지 납입 가능하며 은행 이자에 더해 저축장려금과 비과세 혜택을 제공했던 상품","소득확인서류,신분증,가입심사서류",https://www.kinfa.or.kr/financialProduct/youthHopeSavings.do,사회초년생추천,소득조건확인,자산형성,"MATCH_GOAL,INCOME_PROOF_REQUIRED",10,50,24,사회초년생
b014,햇살론유스,대출,policy_finance,policy_finance,all,all,19,34,1,1,1,1,all,policy_finance,3500,TRUE,TRUE,open,"만 19~34세 청년의 학업·취업준비·생활 안정 자금 부담을 완화하기 위한 정책성 대출 상품으로, 동일인 최대 1,200만원 한도 내에서 이용 가능","신분증,소득확인서류,자금용도확인서류,보증심사서류",https://www.kinfa.or.kr/financialProduct/hessalLoanYoos.do,저소득청년대상,상환부담확인,대출성지원,"LOW_INCOME_SUPPORT,DOCUMENT_CHECK_REQUIRED",4.5,0,0,대학생
b015,햇살론유스,대출,policy_finance,policy_finance,all,all,19,34,0,1,0,0,all,policy_finance,3500,TRUE,TRUE,open,만 19~34세 대학생·대학원생·학점은행제 수강자 등 취업준비 청년의 학업 및 생활 안정 자금 부담을 완화하기 위한 정책성 대출 상품,"신분증,재학증명서또는휴학증명서,소득확인서류,자금용도확인서류,보증심사서류",https://www.kinfa.or.kr/financialProduct/hessalLoanYoos.do,대학생추천,상환부담확인,대출성지원,"LOW_INCOME_SUPPORT,DOCUMENT_CHECK_REQUIRED",4.5,0,0,대학생
b016,햇살론유스,대출,policy_finance,policy_finance,all,all,19,34,0,0,1,0,all,policy_finance,3500,TRUE,TRUE,open,"만 19~34세 프리랜서 청년의 생활 안정 및 자금 부담 완화를 위한 정책성 대출 상품으로, 연소득 3,500만원 이하 청년이 동일인 최대 1,200만원 한도 내에서 이용 가능","신분증,소득확인서류,사업또는소득활동확인서류,자금용도확인서류,보증심사서류",https://www.kinfa.or.kr/financialProduct/hessalLoanYoos.do,프리랜서검토가능,상환부담확인,대출성지원,"LOW_INCOME_SUPPORT,DOCUMENT_CHECK_REQUIRED",4.5,0,0,프리랜서
b017,청년전용 버팀목 전세자금대출,대출,policy_finance,housing,all,all,19,34,1,0,0,1,jeonse,housing,5000,TRUE,TRUE,open,만 19~34세 무주택 청년 세대주를 대상으로 전세보증금 마련을 지원하는 정책성 전세자금 대출 상품,"신분증,임대차계약서,주민등록등본,소득확인서류,재직또는사업증빙서류",https://www.myhome.go.kr/hws/portal/cont/selectYouthPolicyYouthOnlyCrutchLoanView.d,사회초년생추천,상환부담확인,대출성지원,"MATCH_HOUSING,DOCUMENT_CHECK_REQUIRED",3.3,0,120,사회초년생
b018,청년내일저축계좌,적금,national_policy,asset_building,all,all,19,34,1,0,1,1,all,"asset_building,living_support",2400,TRUE,FALSE,closed,일하는 저소득 청년이 3년 동안 매월 10만원 이상 저축하면 정부지원금을 매칭하여 목돈 형성을 돕는 자산형성 지원사업,"신분증,소득확인서류,가구소득확인서류,근로또는사업증빙서류,신청서류",https://www.bokjiro.go.kr/ssis-tbu/twatva/wlfareCust/selectNtcInfo.do?url=%2Fcustomer%2Fnotice%2F1309680_1155.html,저소득청년대상,소득증빙필요,자산형성,"MATCH_GOAL,LOW_INCOME_SUPPORT,INCOME_PROOF_REQUIRED",5,10,36,저소득청년
