age,job_type,monthly_income,region,housing_type,is_student,is_job_seeker,goal,has_part_time_income,income_stability,has_income_proof,tax_reported,is_independent_household,is_homeless_or_no_house,active_job_search
24,student,0,other,dormitory,True,False,education,True,unstable,,,,,
24,student,0,other,dormitory,True,False,education,True,unstable,,,,,
20,student,0,other,with_family,True,False,asset_building,False,unstable,,,,,
22,part_time,0,seoul,monthly_rent,True,False,living_support,False,unknown,,,,,
20,student,500000,seoul,with_family,True,False,living_support,True,unknown,,,,,
21,part_time,0,other,dormitory,True,False,asset_building,True,unknown,,,,,
19,part_time,500000,other,with_family,True,False,asset_building,True,unstable,,,,,
24,student,500000,seoul,with_family,True,False,education,False,unknown,,,,,
22,part_time,300000,gyeonggi,dormitory,True,False,education,False,unstable,,,,,
23,student,300000,seoul,dormitory,True,False,living_support,False,unstable,,,,,
24,part_time,0,seoul,with_family,True,False,living_support,False,unknown,,,,,
19,student,500000,seoul,monthly_rent,True,False,living_support,False,unknown,,,,,
20,part_time,300000,seoul,monthly_rent,True,False,asset_building,False,unknown,,,,,
23,part_time,500000,seoul,with_family,True,False,asset_building,False,unstable,,,,,
19,student,300000,other,with_family,True,False,asset_building,False,unstable,,,,,
22,part_time,800000,other,dormitory,True,False,asset_building,True,unstable,,,,,
24,part_time,500000,seoul,dormitory,True,False,living_support,True,unknown,,,,,
19,part_time,300000,other,with_family,True,False,asset_building,False,unstable,,,,,
20,part_time,300000,other,monthly_rent,True,False,education,False,unknown,,,,,
19,student,500000,gyeonggi,with_family,True,False,education,True,unstable,,,,,
19,part_time,0,other,with_family,True,False,education,False,unstable,,,,,
21,part_time,300000,other,monthly_rent,True,False,asset_building,True,unknown,,,,,
22,part_time,800000,other,dormitory,True,False,education,True,unstable,,,,,
19,part_time,0,other,monthly_rent,True,False,education,True,unstable,,,,,
19,student,300000,seoul,with_family,True,False,living_support,True,unstable,,,,,
21,part_time,300000,other,with_family,True,False,asset_building,False,unstable,,,,,
22,part_time,300000,seoul,with_family,True,False,asset_building,False,unknown,,,,,
22,part_time,800000,other,with_family,True,False,asset_building,True,unstable,,,,,
22,part_time,0,seoul,with_family,True,False,education,False,unstable,,,,,
22,student,500000,gyeonggi,with_family,True,False,education,False,unstable,,,,,
19,student,0,seoul,with_family,True,False,living_support,False,unknown,,,,,
20,part_time,0,seoul,dormitory,True,False,education,False,unknown,,,,,
22,part_time,800000,other,monthly_rent,True,False,asset_building,False,unstable,,,,,
20,part_time,300000,seoul,monthly_rent,True,False,asset_building,True,unknown,,,,,
19,student,800000,other,monthly_rent,True,False,education,True,unstable,,,,,
20,student,0,other,with_family,True,False,living_support,True,unstable,,,,,
23,student,0,gyeonggi,monthly_rent,True,False,asset_building,False,unknown,,,,,
20,part_time,300000,gyeonggi,dormitory,True,False,education,False,unknown,,,,,
21,student,0,gyeonggi,monthly_rent,True,False,asset_building,True,unstable,,,,,
23,student,500000,seoul,dormitory,True,False,education,True,unknown,,,,,
21,student,800000,other,monthly_rent,True,False,living_support,True,unknown,,,,,
24,student,300000,gyeonggi,with_family,True,False,education,True,unknown,,,,,
21,student,500000,seoul,monthly_rent,True,False,asset_building,False,unknown,,,,,
21,student,0,other,dormitory,True,False,living_support,True,unstable,,,,,
21,student,500000,seoul,monthly_rent,True,False,living_support,False,unstable,,,,,
19,student,300000,other,with_family,True,False,living_support,True,unknown,,,,,
20,student,500000,gyeonggi,with_family,True,False,living_support,True,unstable,,,,,
24,student,500000,other,dormitory,True,False,asset_building,True,unstable,,,,,
20,student,800000,seoul,with_family,True,False,asset_building,False,unknown,,,,,
